Headword,Related word forms,SFI,U,D
puzzle,"puzzled, puzzles, puzzling",53.621,23,9.775
qualitative,,56.538,45,8.642
quantitative,,58.011,63,8.616
quantum,,54.436,28,7.487
questionnaire,questionnaires,56.55,45,7.999
quiz,"quizzed, quizzes, quizzing",47.681,6,8.021
quotation,quotations,53.914,25,453
rack,"racked, racking, racks",42.423,2,2.702
radar,radars,45.872,4,554
radiation,,57.725,59,7.802
radius,radii,56.236,42,4.862
rainfall,,53.988,25,7.648
randomize,"randomise, randomised, randomises, randomising, randomized, randomizes, randomizing",55.884,39,7.047
randomly,,54.956,31,7.764
rational,,58.661,73,8.361
rationality,,53.385,22,8.121
ray,rays,54.371,27,7.117
reactive,,52.33,17,8.825
reactor,reactors,46.161,4,6.918
readily,,56.553,45,9.114
realism,,52.282,17,7.199
realistic,,53.836,24,8.851
realm,realms,54.899,31,8.641
receptor,receptors,61.36,137,5.813
recipe,recipes,46.646,5,7.547
reconstruct,"reconstructed, reconstructing, reconstructs",54.215,26,9.161
regime,regimes,60.528,113,8.192
regression,,59.918,98,4.909
rehabilitation,,52.856,19,7.923
reinforce,"reinforced, reinforces, reinforcing",56.494,45,8.678
rejection,rejections,55.563,36,8.841
reliability,,55.75,38,8.932
render,"rendered, rendering, renders",56.724,47,7.904
repertoire,repertoires,72.452,1759,5.923
replacement,replacements,55.554,36,8.435
replicate,"replicated, replicates, replicating",56.085,41,7.752
replication,replications,54.871,31,6.611
reproduce,"reproduced, reproduces, reproducing",56.302,43,9.223
reproduction,reproductions,55.716,37,7.821
republic,republics,51.139,13,7.138
resemble,"resembled, resembles, resembling",55.63,37,885
reservoir,reservoirs,51.49,14,7.865
residual,residuals,56.798,48,7.373
residue,residues,56.279,42,5.943
resistant,,54.502,28,7.806
respiratory,,53.617,23,4.175
retrieve,"retrieved, retrieves, retrieving",53.413,22,924
revolutionary,revolutionaries,54.203,26,7.307
rewrite,"rewrites, rewriting, rewritten, rewrote",55.265,34,9.191
rhetoric,,54.488,28,7.555
rhythm,rhythms,55.118,32,8.657
ridiculous,,44.415,3,7.216
ritual,rituals,56.577,45,7.428
robot,robots,60.055,101,6.448
rope,"roped, ropes, roping",47.082,5,5.624
rotate,"rotated, rotates, rotating",53.812,24,6.495
rotation,rotations,57.191,52,6.532
rub,"rubbed, rubbing, rubbings, rubs",45.945,4,8.953
ruler,rulers,53.831,24,679
scatter,"scattered, scattering, scatterings, scatters",56.047,40,7.371
scenario,scenarios,57.103,51,9.494
scholarship,scholarships,54.601,29,8.106
scripture,scriptures,45.819,4,479
scroll,"scrolled, scrolling, scrolls",43.465,2,6.697
secrete,"secreted, secretes, secreting",51.868,15,4.664
sediment,"sedimented, sedimenting, sediments",54.403,28,6.311
selective,,56.637,46,7.322
semantic,semantics,62.38,173,699
semester,semesters,46.324,4,8.668
semi,,44.497,3,9.148
seminar,seminars,50.37,11,6.727
sensation,sensations,52.51,18,7.831
sensible,,50.508,11,8.846
sensitivity,sensitivities,59.471,89,7.936
sensory,,55.852,38,6.045
separately,,55.903,39,9.533
separation,separations,57.743,59,8.895
sexuality,sexualities,53.225,21,9.059
shallow,"shallower, shallowest, shallows",52.691,19,8.842
shortly,,53.155,21,9.536
shuttle,"shuttled, shuttles, shuttling",43.767,2,6.116
similarity,similarities,59.459,88,908
simplify,"simplified, simplifies, simplifying",56.255,42,928
simulate,"simulated, simulates, simulating",56.493,45,8.666
simulation,simulations,60.642,116,723
simultaneously,,57.234,53,8.856
sin,"sinned, sinning, sins",58.585,72,4.986
singular,,56.917,49,743
sketch,"sketched, sketches, sketching",55.193,33,8.131
skip,"skipped, skipping, skips",47.907,6,8.904
slab,slabs,49.101,8,7.437
slash,"slashed, slashes, slashing",44.465,3,7.901
slavery,,53.344,22,5.699
slot,"slots, slotted, slotting",50.941,12,9.548
snake,"snaked, snakes, snaking",49.471,9,7.712
sneeze,"sneezed, sneezes, sneezing",40.815,1,8.074
sniff,"sniffed, sniffing, sniffs",40.694,1,5.553
socialize,"socialise, socialised, socialises, socialising, socialized, socializes, socializing",47.163,5,5.325
socially,,54.632,29,8.045
sodium,,54.597,29,785
solar,,52.604,18,338
soluble,solubles,51.627,15,6.279
solute,solutes,48.377,7,6.049
solvent,solvents,49.177,8,6.174
sometime,,46.791,5,9.026
sophisticate,"sophisticated, sophisticates",54.672,29,9.514
span,"spanned, spanning, spans",56.893,49,9.247
spatial,,60.886,123,9.265
specialty,"specialities, speciality, specialties",47.202,5,7.667
specification,specifications,57.947,62,7.823
specimen,specimens,56.813,48,918
spectrum,"spectra, spectrums",59.327,86,7.745
sperm,sperms,58.012,63,5.381
sphere,spheres,57.993,63,7.324
splice,"spliced, splices, splicing",50.174,10,6.478
sponsorship,sponsorships,43.286,2,2.042
spontaneous,,55.759,38,9.309
spray,"sprayed, spraying, sprays",48.819,8,7.682
stabilize,"stabilise, stabilised, stabilises, stabilising, stabilized, stabilizes, stabilizing",53.738,24,8.843
stack,"stacked, stacking, stacks",54.519,28,8.698
stadium,stadiums,40.67,1,5.831
stance,"stanced, stances, stancing",53.756,24,7.683
standardize,"standardise, standardised, standardises, standardising, standardized, standardizes, standardizing",54.795,30,9.332
static,statics,55.96,39,8.396
statistical,,60,100,8.734
statistically,,56.493,45,8.655
statistics,,48.058,6,8.586
stereotype,"stereotyped, stereotypes, stereotyping",53.371,22,7.121
stimulus,stimuli,61.442,139,6.749
straightforward,,55.931,39,9.156
strand,"stranded, stranding, strands",55.015,32,6.294
strategic,,55.243,33,8.145
strictly,,56.653,46,9.498
stripe,"striped, stripes, striping",49.188,8,9.011
sub,"subbed, subbing, subs",50.634,12,8.787
subjective,,55.573,36,8.974
subset,subsets,59.149,82,7.137
substitution,substitutions,58.144,65,8.594
substrate,substrates,55.933,39,6.316
subtle,"subtler, subtlest",54.148,26,9.566
subtract,"subtracted, subtracting, subtracts",50.296,11,8.419
sufficiently,,57.734,59,9.132
suicide,suicides,56.197,42,7.663
super,,49.916,10,9.474
superior,superiors,56.934,49,8.178
supposedly,,50.778,12,849
surgeon,surgeons,49.328,9,6.627
surgical,,54.461,28,5.849
surplus,surpluses,52.24,17,6.613
susceptible,,54.112,26,8.023
sustainable,sustainables,52.488,18,7.717
swap,"swapped, swapping, swaps",46.674,5,6.789
swell,"swelled, swelling, swells, swollen",50.746,12,6.989
sword,swords,47.832,6,6.093
syllable,"syllabled, syllables",58.821,76,6.978
syllabus,"syllabi, syllabuses",46.543,5,5.816
symbolic,,56.714,47,8.553
syndrome,syndromes,58.505,71,5.942
syntactic,syntactics,59.143,82,7.046
syntax,,57.747,60,8.531
synthesis,syntheses,58.258,67,6.046
synthetic,,52.608,18,9.031
systematic,,58.275,67,9.032
tech,,42.591,2,8.544
technically,,49.646,9,9.307
temporal,,59.611,91,8.431
tempt,"tempted, tempting, tempts",50.881,12,8.315
tense,"tensed, tenses, tensing",56.531,45,6.318
terminal,terminals,56.457,44,8.095
terminology,terminologies,54.32,27,9.573
terribly,,43.525,2,7.742
textbook,textbooks,53.886,24,9.504
theorem,theorems,61.319,135,564
theorist,theorists,54.58,29,8.438
thereby,,57.75,60,8.491
thermal,thermals,55.466,35,8.211
thesis,theses,58.6,72,814
thickness,thicknesses,55.655,37,7.007
thread,"threaded, threading, threads",52.077,16,8.579
threshold,thresholds,58.516,71,8.934
thumb,"thumbed, thumbing, thumbs",48.036,6,8.984
tolerance,tolerances,55.447,35,7.936
ton,tons,52.591,18,9.478
toxic,,51.236,13,8.106
tract,tracts,55.59,36,5.586
traditionally,,54.283,27,8.817
trait,traits,58.974,79,6.899
trajectory,trajectories,58.416,69,7.451
trans,,52.946,20,9.121
transaction,transactions,56.757,47,6.227
transcribe,"transcribed, transcribes, transcribing",52.012,16,7.182
transcription,transcriptions,56.502,45,5.803
transformation,transformations,60.981,125,8.695
translation,translations,60.695,117,8.673
transmission,transmissions,58.718,74,8.186
transmit,"transmits, transmitted, transmitting",55.651,37,8.736
transparency,transparencies,50.636,12,8.791
transplant,"transplanted, transplanting, transplants",53.206,21,6.095
trauma,traumas,53.505,22,6.544
treaty,treaties,52.86,19,7.117
tremendous,,49.486,9,9.356
triangle,triangles,54.284,27,8.107
tribe,tribes,51.989,16,826
tricky,"trickier, trickiest",43.896,2,807
trivial,,53.767,24,8.554
tropical,,57.782,60,8.469
tumor,"tumors, tumour, tumours",57.567,57,5.756
turbulent,,54.437,28,654
tutor,"tutored, tutoring, tutors",49.932,10,7.927
ultimate,,55.098,32,954
undergraduate,undergraduates,51.633,15,813
undermine,"undermined, undermines, undermining",55.052,32,8.327
underneath,,46.213,4,7.854
unemployed,,51.242,13,7.764
unify,"unified, unifies, unifying",54.965,31,8.489
unintelligible,,43.512,2,7.767
unity,unities,56.65,46,8.057
unstable,,56.275,42,8.732
uplift,"uplifted, uplifting, uplifts",48.006,6,7.132
upward,upwards,53.504,22,7.658
urine,,51.297,13,426
usage,,56.996,50,8.052
utility,utilities,57.696,59,7.546
utilize,"utilise, utilised, utilises, utilising, utilized, utilizes, utilizing",56.699,47,9.226
utterance,utterances,58.441,70,7.525
vague,,51.407,14,9.263
valid,,57.729,59,9.334
validity,,57.181,52,9.088
valve,"valved, valves",55.504,36,8.606
variability,variabilities,57.431,55,8.445
variance,variances,60.343,108,6.696
variant,variants,57.888,61,8.436
vector,vectors,61.431,139,5.255
vegetation,,54.315,27,7.881
vein,"veined, veining, veins",55.365,34,5.648
velocity,velocities,61.636,146,5.401
verbal,,57.644,58,8.435
vertical,verticals,57.724,59,8.186
viable,,53.435,22,7.582
virtue,virtues,56.788,48,7.631
vitamin,vitamins,52.428,17,4.207
vocabulary,vocabularies,58.444,70,7.244
volition,,44.333,3,4.814
vowel,vowels,59.968,99,685
watershed,,47.662,6,5.699
wavelength,wavelengths,54.94,31,556
weave,"weaved, weaves, weaving, wove, woven",50.467,11,7.078
wheat,,55.29,34,8.799
whereby,,53.717,24,9.542
whichever,,45.489,4,8.961
whoever,,45.733,4,8.434
widespread,,56.802,48,907
wisdom,,52.306,17,8.144
workshop,workshops,54.948,31,9.045
yeast,,51.228,13,5.551
